time_min,distance_km,relative_speed_km_s,fuel_delta_v_m_s,chaser_x_km,chaser_y_km,target_x_km,target_y_km,action
0,309.516,0.342826,0,6856.19,-308.737,6878.14,0,radial_in
0.166667,309.267,0.34235,0.2,6859.19,-232.587,6877.72,76.1245,radial_in
0.333333,309.018,0.341874,0.4,6861.35,-156.409,6876.45,152.24,radial_in
0.5,308.769,0.341398,0.6,6862.66,-80.2114,6874.35,228.336,radial_in
0.666667,308.52,0.340922,0.8,6863.12,-4.00378,6871.4,304.405,radial_in
0.833333,308.27,0.340446,1,6862.73,72.2043,6867.61,380.436,radial_in
1,308.021,0.33997,1.2,6861.5,148.403,6862.98,456.421,radial_in
1.16667,307.771,0.339494,1.4,6859.41,224.584,6857.5,532.35,radial_in
1.33333,307.521,0.339018,1.6,6856.48,300.737,6851.19,608.213,radial_in
1.5,307.271,0.338542,1.8,6852.7,376.853,6844.04,684.002,radial_in
1.66667,307.021,0.338066,2,6848.08,452.922,6836.05,759.708,radial_in
1.83333,306.77,0.33759,2.2,6842.6,528.936,6827.23,835.32,radial_in
2,306.518,0.337113,2.4,6836.28,604.884,6817.56,910.83,radial_in
2.16667,306.266,0.336636,2.6,6829.12,680.757,6807.06,986.228,radial_in
2.33333,306.014,0.336159,2.8,6821.11,756.546,6795.73,1061.51,radial_in
2.5,305.761,0.335682,3,6812.26,832.242,6783.57,1136.65,radial_in
2.66667,305.508,0.335205,3.2,6802.57,907.834,6770.57,1211.66,radial_in
2.83333,305.253,0.334727,3.4,6792.04,983.315,6756.75,1286.52,radial_in
3,304.999,0.334249,3.6,6780.67,1058.67,6742.09,1361.22,radial_in
3.16667,304.743,0.333771,3.8,6768.45,1133.9,6726.62,1435.76,radial_in
3.33333,304.487,0.333292,4,6755.41,1208.99,6710.31,1510.12,radial_in
3.5,304.229,0.332813,4.2,6741.52,1283.93,6693.19,1584.29,radial_in
3.66667,303.971,0.332333,4.4,6726.81,1358.71,6675.25,1658.27,radial_in
3.83333,303.712,0.331853,4.6,6711.26,1433.32,6656.48,1732.05,radial_in
4,303.453,0.331373,4.8,6694.88,1507.75,6636.91,1805.62,radial_in
4.16667,303.192,0.330892,5,6677.68,1582,6616.52,1878.96,radial_in
4.33333,302.93,0.330411,5.2,6659.65,1656.05,6595.31,1952.07,radial_in
4.5,302.667,0.329929,5.4,6640.79,1729.9,6573.31,2024.95,radial_in
